,recipe_urls
105,https://www.sanjeevkapoor.com/Recipe/Chicken-Popti-Sanjeev-Kapoor-Kitchen-FoodFood.html
106,https://www.sanjeevkapoor.com/Recipe/Valacha-Birda-Sanjeev-Kapoor-Kitchen-FoodFood.html
107,https://www.sanjeevkapoor.com/Recipe/Ghol-Curry-Sanjeev-Kapoor-Kitchen-FoodFood.html
108,https://www.sanjeevkapoor.com/Recipe/Gavthi-Sukha-Chicken-Sanjeev-Kapoor-Kitchen-FoodFood.html
109,https://www.sanjeevkapoor.com/Recipe/Steamed-Egg-Katori-with-Salad-Sanjeev-Kapoor-Kitchen-FoodFood.html
110,https://www.sanjeevkapoor.com/Recipe/Protein-Rich-Poha-Sanjeev-Kapoor-Kitchen-FoodFood.html
111,https://www.sanjeevkapoor.com/Recipe/Dhaniya-Murgh-Sanjeev-Kapoor-Kitchen-FoodFood.html
112,https://www.sanjeevkapoor.com/Recipe/Thai-Coconut-Caramel-Custard-Sanjeev-Kapoor-Kitchen-FoodFood.html
113,https://www.sanjeevkapoor.com/Recipe/Chocolate-Overnight-Muesli-Sanjeev-Kapoor-Kitchen-FoodFood.html
114,https://www.sanjeevkapoor.com/Recipe/Almond-Phirni-Sanjeev-Kapoor-Kitchen-FoodFood.html
115,https://www.sanjeevkapoor.com/Recipe/Tofu-Chilli-Garlic-Sanjeev-Kapoor-Kitchen-FoodFood.html
116,https://www.sanjeevkapoor.com/Recipe/Cheese-Taco-Sanjeev-Kapoor-Kitchen-FoodFood.html
117,https://www.sanjeevkapoor.com/Recipe/Broccoli-Mac-and-Cheese-Sanjeev-Kapoor-Kitchen-FoodFood.html
118,https://www.sanjeevkapoor.com/Recipe/Power-Idli-Sanjeev-Kapoor-Kitchen-FoodFood.html
119,https://www.sanjeevkapoor.com/Recipe/Pani-Puri-Pani-Sanjeev-Kapoor-Kitchen-FoodFood.html
120,https://www.sanjeevkapoor.com/Recipe/Greek-Style-Yogurt-Chicken-Sanjeev-Kapoor-Kitchen-FoodFood.html
121,https://www.sanjeevkapoor.com/Recipe/Green-Chana-Waffle-Sanjeev-Kapoor-Kitchen-FoodFood.html
122,https://www.sanjeevkapoor.com/Recipe/Chocolate-Nut-Bar-Sanjeev-Kapoor-Kitchen-FoodFood.html
123,https://www.sanjeevkapoor.com/Recipe/Barley-Risotto-Sanjeev-Kapoor-Kitchen-FoodFood.html
124,https://www.sanjeevkapoor.com/Recipe/Jowar-Pumpkin-Gnocchi-Sanjeev-Kapoor-Kitchen-FoodFood.html
125,https://www.sanjeevkapoor.com/Recipe/Bajra-Risotto-Sanjeev-Kapoor-Kitchen-FoodFood.html
126,https://www.sanjeevkapoor.com/Recipe/Almond-Cake-Sanjeev-Kapoor-Kitchen-FoodFood.html
127,https://www.sanjeevkapoor.com/Recipe/Fresh-Tuvar-Green-Masala-Sanjeev-Kapoor-Kitchen-FoodFood.html
128,https://www.sanjeevkapoor.com/Recipe/Crab-Curry-Sanjeev-Kapoor-Kitchen-FoodFood.html
129,https://www.sanjeevkapoor.com/Recipe/Bhakri-with-Thecha-Sanjeev-Kapoor-Kitchen-FoodFood.html
130,https://www.sanjeevkapoor.com/Recipe/Pepper-Crusted-Chicken-Sanjeev-Kapoor-Kitchen-FoodFood.html
131,https://www.sanjeevkapoor.com/Recipe/Mutton-Seekh-Sanjeev-Kapoor-Kitchen-FoodFood.html
132,https://www.sanjeevkapoor.com/Recipe/Malai-Broccoli-Sanjeev-Kapoor-Kitchen-FoodFood.html
133,https://www.sanjeevkapoor.com/Recipe/Lamb-Chops-with-Mint-Sauce-Sanjeev-Kapoor-Kitchen-FoodFood.html
134,https://www.sanjeevkapoor.com/Recipe/Fish-in-Banana-Leaves-Sanjeev-Kapoor-Kitchen-FoodFood.html
135,https://www.sanjeevkapoor.com/Recipe/Barbequed-Orange-Shrimps-Sanjeev-Kapoor-Kitchen-FoodFood.html
136,https://www.sanjeevkapoor.com/Recipe/Vratwali-Aloo-Rassa-Sabzi.html
137,https://www.sanjeevkapoor.com/Recipe/Unniappam.html
138,https://www.sanjeevkapoor.com/Recipe/Udida-Ghari.html
139,https://www.sanjeevkapoor.com/Recipe/Turkish-Ramadan-Pidesi-Bread.html
140,https://www.sanjeevkapoor.com/Recipe/Swiss-Buttercream.html
141,https://www.sanjeevkapoor.com/Recipe/Simple-Buns.html
142,https://www.sanjeevkapoor.com/Recipe/Scallion-Bing.html
143,https://www.sanjeevkapoor.com/Recipe/Sangam-Vada.html
144,https://www.sanjeevkapoor.com/Recipe/Samosa-Patti.html
145,https://www.sanjeevkapoor.com/Recipe/Samo-Puri.html
146,https://www.sanjeevkapoor.com/Recipe/Samo-Bhakri.html
147,https://www.sanjeevkapoor.com/Recipe/Sacher-Torte.html
148,https://www.sanjeevkapoor.com/Recipe/Rice-Gnocchi-Aglio-Olio.html
149,https://www.sanjeevkapoor.com/Recipe/Potato-Dosa.html
150,https://www.sanjeevkapoor.com/Recipe/Onion-Capsicum-Arachuvitta-Sambhar.html
151,https://www.sanjeevkapoor.com/Recipe/Oats-Thalipeeth.html
152,https://www.sanjeevkapoor.com/Recipe/Neyyappam.html
153,https://www.sanjeevkapoor.com/Recipe/Masala-Pulled-Bun--TBD.html
154,https://www.sanjeevkapoor.com/Recipe/Kotte-Kadubu.html
155,https://www.sanjeevkapoor.com/Recipe/Khaja.html
